City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,Sibsagar,26.9833,94.6333,57.51,77,0,1.97,IN,2021-01-27 22:46:24
329,Itoigawa,37.0333,137.85,34.0,80,100,11.05,JP,2021-01-27 22:51:02
330,Eureka,40.8021,-124.1637,48.0,82,100,4.0,US,2021-01-27 22:48:14
331,Filadelfia,39.9523,-75.1638,36.0,55,90,11.5,US,2021-01-27 22:50:17
332,Bacolod,10.6667,122.95,77.79,81,100,8.75,PH,2021-01-27 22:51:02
333,Soyo,-6.1349,12.3689,79.88,80,100,0.98,AO,2021-01-27 22:51:02
334,Wiarton,44.7407,-81.1332,19.4,73,75,4.61,CA,2021-01-27 22:49:19
335,Policoro,40.2115,16.6726,39.0,70,98,4.56,IT,2021-01-27 22:51:02
336,Coihaique,-45.5752,-72.0662,55.4,58,75,6.91,CL,2021-01-27 22:51:03
337,Altay,47.8667,88.1167,2.39,75,76,1.92,CN,2021-01-27 22:51:03
338,Nome,64.5011,-165.4064,16.0,67,90,13.8,US,2021-01-27 22:51:03
339,Sooke,48.3746,-123.7276,42.8,82,91,17.27,CA,2021-01-27 22:50:00
340,Saint-Francois,46.4154,3.9054,48.2,87,90,3.44,FR,2021-01-27 22:51:03
341,Robstown,27.7903,-97.6689,73.4,20,1,11.5,US,2021-01-27 22:51:03
342,Vapnyarka,48.5348,28.7436,28.99,86,100,18.45,UA,2021-01-27 22:51:03
343,Spearfish,44.4908,-103.8594,30.99,68,1,6.91,US,2021-01-27 22:51:03
344,Innisfail,-17.5333,146.0333,80.1,84,82,6.24,AU,2021-01-27 22:51:04
345,Khash,28.2211,61.2158,35.42,57,0,1.88,IR,2021-01-27 22:47:11
346,Nouadhibou,20.931,-17.0347,68.0,73,0,9.22,MR,2021-01-27 22:51:04
347,Ketchikan,55.3422,-131.6461,33.8,64,1,8.05,US,2021-01-27 22:51:04
348,Mbandaka,0.0487,18.2603,71.82,94,100,0.89,CD,2021-01-27 22:50:35
349,Kutum,14.2,24.6667,59.54,26,58,7.94,SD,2021-01-27 22:50:36
350,Capaci,38.1711,13.2393,50.0,87,75,6.91,IT,2021-01-27 22:51:04
351,Lagoa,39.05,-27.9833,60.49,83,58,28.03,PT,2021-01-27 22:51:04
352,Labuan,5.2767,115.2417,77.0,94,40,2.3,MY,2021-01-27 22:48:08
353,Kushmurun,52.4503,64.6311,15.33,96,57,12.37,KZ,2021-01-27 22:51:05
354,Duldurga,50.6761,113.5931,-21.98,80,0,4.14,RU,2021-01-27 22:51:05
355,Tiksi,71.6872,128.8694,-35.39,82,99,2.13,RU,2021-01-27 22:51:05
356,Tulun,54.5611,100.5792,-3.55,92,100,6.31,RU,2021-01-27 22:51:05
357,Vanavara,60.34,102.2797,-17.16,84,100,12.33,RU,2021-01-27 22:51:05
358,Winsum,53.33,6.5208,41.0,96,86,6.53,NL,2021-01-27 22:51:06
359,Norman Wells,65.282,-126.8329,-22.0,76,75,6.91,CA,2021-01-27 22:51:06
360,Paamiut,61.994,-49.6678,30.18,83,79,6.11,GL,2021-01-27 22:51:06
361,Veraval,20.9,70.3667,63.36,32,10,12.59,IN,2021-01-27 22:51:06
362,Ozu,33.5,132.55,43.0,81,75,4.61,JP,2021-01-27 22:51:07
363,Kadoma,34.7333,135.5833,43.0,87,75,2.3,JP,2021-01-27 22:51:07
364,Vestmannaeyjar,63.4427,-20.2734,34.61,85,85,26.71,IS,2021-01-27 22:51:08
365,Merauke,-8.4667,140.3333,81.86,83,100,14.43,ID,2021-01-27 22:51:08
366,Preston,53.7667,-2.7167,45.0,85,100,16.02,GB,2021-01-27 22:51:09
367,San Isidro,-12.1167,-77.05,77.0,64,0,8.05,PE,2021-01-27 22:50:40
368,Ivdel,60.6911,60.4206,21.69,96,100,4.38,RU,2021-01-27 22:51:09
369,Dharchula,29.85,80.5333,44.55,34,0,7.45,IN,2021-01-27 22:51:09
370,Maniitsoq,65.4167,-52.9,22.06,75,0,7.16,GL,2021-01-27 22:51:09
371,Mamallapuram,12.6264,80.1722,73.4,88,40,2.3,IN,2021-01-27 22:51:09
372,Kavieng,-2.5744,150.7967,84.45,73,88,10.6,PG,2021-01-27 22:51:10
373,Pretoria,-25.7449,28.1878,71.01,83,99,8.28,ZA,2021-01-27 22:49:06
374,Portland,45.5234,-122.6762,45.0,76,90,6.91,US,2021-01-27 22:49:10
375,Langsa,4.4683,97.9683,73.29,95,85,2.15,ID,2021-01-27 22:47:01
376,Mogadishu,2.0371,45.3438,77.18,84,81,19.82,SO,2021-01-27 22:49:24
377,Tuatapere,-46.1333,167.6833,53.01,78,100,15.01,NZ,2021-01-27 22:51:10
378,Vryburg,-26.9566,24.7284,66.69,86,100,4.18,ZA,2021-01-27 22:51:10
379,Lander,42.833,-108.7307,30.2,51,1,4.61,US,2021-01-27 22:50:45
380,Kralendijk,12.15,-68.2667,80.6,69,20,19.57,BQ,2021-01-27 22:51:10
381,Kasempa,-13.4584,25.8338,62.15,94,100,2.86,ZM,2021-01-27 22:51:11
382,Lasa,46.6166,10.7002,28.99,86,0,5.73,IT,2021-01-27 22:50:38
383,Shimoda,34.6667,138.95,39.99,77,95,5.99,JP,2021-01-27 22:51:11
384,Wau,7.7029,27.9953,78.64,35,81,0.98,SS,2021-01-27 22:51:12
385,Baykalsk,51.5058,104.1469,1.58,80,86,0.92,RU,2021-01-27 22:51:12
386,Puerto Baquerizo Moreno,-0.9,-89.6,80.6,89,75,14.97,EC,2021-01-27 22:51:12
387,Ulcinj,41.9294,19.2244,39.2,59,20,8.05,ME,2021-01-27 22:51:12
388,San Antonio,29.4241,-98.4936,68.0,19,1,9.22,US,2021-01-27 22:50:56
389,Zhigansk,66.7697,123.3711,-48.71,75,57,5.77,RU,2021-01-27 22:51:12
390,Korcula,42.9622,17.1369,26.6,68,20,2.3,HR,2021-01-27 22:51:12
391,Tubuala,9.5167,-79.0333,86.0,66,40,3.44,PA,2021-01-27 22:51:13
392,Asosa,10.0667,34.5333,72.12,30,53,3.53,ET,2021-01-27 22:51:13
393,Rancho Palos Verdes,33.7445,-118.387,57.99,58,75,16.11,US,2021-01-27 22:49:18
394,Pidhaytsi,49.2685,25.1334,33.01,83,100,12.77,UA,2021-01-27 22:51:13
395,Port-Gentil,-0.7193,8.7815,78.8,89,90,3.44,GA,2021-01-27 22:51:13
396,Galle,6.0367,80.217,75.69,78,41,2.73,LK,2021-01-27 22:46:45
397,Pringsewu,-5.3582,104.9744,72.9,94,100,3.38,ID,2021-01-27 22:51:13
398,Taoudenni,22.6783,-3.9836,69.85,31,0,16.89,ML,2021-01-27 22:48:05
399,Dunedin,-45.8742,170.5036,55.0,63,40,28.01,NZ,2021-01-27 22:51:14
400,Bombay,19.0144,72.8479,66.2,82,0,7.23,IN,2021-01-27 22:46:27
401,Moron,-34.6534,-58.6198,82.4,44,0,13.8,AR,2021-01-27 22:51:14
402,Benguela,-12.5763,13.4055,75.65,79,100,5.61,AO,2021-01-27 22:51:14
403,Waseca,44.0777,-93.5074,19.4,62,1,3.44,US,2021-01-27 22:47:50
404,Coracora,-15.0333,-73.7833,55.35,51,8,9.15,PE,2021-01-27 22:51:14
405,Glyadyanskoye,54.9075,65.0883,18.36,96,41,11.01,RU,2021-01-27 22:51:14
406,Novoagansk,61.9449,76.6625,-34.11,81,71,2.82,RU,2021-01-27 22:51:15
407,Acapulco,16.8634,-99.8901,82.24,60,90,4.45,MX,2021-01-27 22:47:39
408,Ahipara,-35.1667,173.1667,72.19,66,65,6.46,NZ,2021-01-27 22:51:15
409,Fortuna,40.5982,-124.1573,48.0,87,75,20.71,US,2021-01-27 22:51:15
410,Khasan,42.4308,130.6434,21.9,97,100,17.25,RU,2021-01-27 22:51:15
411,Verkhovazhye,60.7472,42.0465,28.04,98,97,7.16,RU,2021-01-27 22:51:15
412,Kumba,4.6363,9.4469,74.35,87,100,1.83,CM,2021-01-27 22:51:16
413,Krasnyy Chikoy,50.3643,108.7512,-26.46,80,48,3.4,RU,2021-01-27 22:51:16
414,Qinzhou,21.95,108.6167,60.78,56,95,12.68,CN,2021-01-27 22:51:16
415,Golden,39.7555,-105.2211,36.0,74,20,6.91,US,2021-01-27 22:46:18
416,Kawalu,-7.3817,108.2082,71.74,86,99,1.72,ID,2021-01-27 22:51:16
417,Praia,14.9215,-23.5087,71.6,68,0,14.97,CV,2021-01-27 22:51:16
418,Santa Barbara,34.7333,-120.0343,52.0,93,90,17.27,US,2021-01-27 22:46:57
419,Yatou,37.15,122.3833,30.74,91,86,20.47,CN,2021-01-27 22:51:16
420,Cabo San Lucas,22.8909,-109.9124,72.0,61,84,5.01,MX,2021-01-27 22:51:16
421,Ashcroft,50.7165,-121.2859,35.6,69,90,10.36,CA,2021-01-27 22:51:17
422,Osakarovka,50.565,72.5692,23.02,98,100,11.83,KZ,2021-01-27 22:51:17
